"No.","Time","Source","Destination","Protocol","Length","Info","TCP header length","DSCP","DSCP Value","QoS","TOS","tcp_delta_time","tcp_rel_time"
"41032","85.066157","78-59-201-167.static.zebra.lt","172.31.187.1","TCP","1514","57857  >  35515 [ACK] Seq=4132176 Ack=5277 Win=65535 Len=1448 TSval=790407520 TSecr=284241[Packet size limited during capture]","32","Assured Forwarding 11","AF11","","","0.021196000","85.058136000"
"41034","85.071758","159.red-212-170-166.staticip.rima-tde.net","172.31.187.1","TCP","1506","29890  >  35515 [ACK] Seq=81986 Ack=410727 Win=33120 Len=1440 TSval=980370081 TSecr=284245[Packet size limited during capture]","32","Class Selector 2","CS2","","","0.045151000","82.278503000"
"41035","85.073358","84.126.98.118.dyn.user.ono.com","172.31.187.1","TCP","60","6881  >  4918 [ACK] Seq=996 Ack=40487 Win=65535 Len=0","20","Assured Forwarding 21","AF21","","","0.083907000","77.624920000"
"41038","85.087360","78-59-201-167.static.zebra.lt","172.31.187.1","TCP","1514","57857  >  35515 [ACK] Seq=4133624 Ack=5277 Win=65535 Len=1448 TSval=790407520 TSecr=284241[Packet size limited during capture]","32","Assured Forwarding 11","AF11","","","0.021186000","85.079339000"
"41039","85.089758","c-213-112-80-192.bbcust.telenor.se","172.31.187.1","TCP","1434","19898  >  4954 [PSH, ACK] Seq=217461 Ack=722106 Win=17520 Len=1380","20","Class Selector 2","CS2","","","0.028586000","77.641107000"
"41041","85.098157","79.103.7.97.dsl.dyn.forthnet.gr","172.31.187.1","TCP","1506","mediavault-gui(3673)  >  35515 [ACK] Seq=221427 Ack=74680 Win=257004 Len=1452","20","Class Selector 2","CS2","","","0.286189000","64.238854000"
"41047","85.100558","79.103.7.97.dsl.dyn.forthnet.gr","172.31.187.1","TCP","60","mediavault-gui(3673)  >  35515 [ACK] Seq=222879 Ack=76132 Win=257004 Len=0","20","Class Selector 2","CS2","","","0.002369000","64.241255000"
"41049","85.112757","78-59-201-167.static.zebra.lt","172.31.187.1","TCP","1514","57857  >  35515 [ACK] Seq=4135072 Ack=5277 Win=65535 Len=1448 TSval=790407522 TSecr=284242[Packet size limited during capture]","32","Assured Forwarding 11","AF11","","","0.025397000","85.104736000"
"41051","85.112958","79.103.7.97.dsl.dyn.forthnet.gr","172.31.187.1","TCP","1506","mediavault-gui(3673)  >  35515 [ACK] Seq=222879 Ack=76132 Win=257004 Len=1452","20","Class Selector 2","CS2","","","0.012385000","64.253655000"
"41052","85.120760","159.red-212-170-166.staticip.rima-tde.net","172.31.187.1","TCP","1506","29890  >  35515 [ACK] Seq=83426 Ack=410727 Win=33120 Len=1440 TSval=980370081 TSecr=284245[Packet size limited during capture]","32","Class Selector 2","CS2","","","0.049002000","82.327505000"
"41054","85.121358","159.red-212-170-166.staticip.rima-tde.net","172.31.187.1","TCP","66","[TCP Previous segment not captured] 29890  >  35515 [ACK] Seq=87746 Ack=413607 Win=33120 Len=0 TSval=980370085 TSecr=284249","32","Class Selector 2","CS2","","","0.000580000","82.328103000"
